file,dontrun_n,donttest_n,examples_block
ARSAU_KINDS.Rd,0,0,0
ARSAU_REGISTRY.Rd,0,0,0
ARSAU_YEARS.Rd,0,0,0
CCRSO_TABLE1_RELEASES.Rd,0,0,0
CCRSO_TABLE2_FLOW.Rd,0,0,0
CCRSO_TABLE3_AGE.Rd,0,0,0
MORIE_FAIRNESS_CANONICAL_FIELDS.Rd,0,0,0
MORIE_SIUIAP_AFFIDAVITS.Rd,0,0,0
MORIE_SIUIAP_CRIMSL_REPORTS.Rd,0,0,0
MORIE_SIUIAP_ORIGINAL_PANEL_2019_2020.Rd,0,0,0
MORIE_SIUIAP_PANEL_MANDATE.Rd,0,0,0
MORIE_SIUIAP_PANEL_MEMBERS.Rd,0,0,0
MORIE_SIUIAP_REPORTS.Rd,0,0,0
MORIE_SIUIAP_URL.Rd,0,0,0
MORIE_TPS_CSI_CATEGORIES.Rd,0,0,0
MORIE_TPS_LAYER_URLS.Rd,0,0,0
MORIE_TPS_REGISTRY.Rd,0,0,0
MORIE_TPS_SUPPORTED_FORMATS.Rd,0,0,0
MORIE_TPS_TORONTO_POPULATION_BY_YEAR.Rd,0,0,0
MORIE_TPS_TOTAL_CSI_WEIGHTS.Rd,0,0,0
MORIE_TPS_VIOLENT_CSI_WEIGHTS.Rd,0,0,0
SemiparKernels.Rd,0,0,0
adjust_p_values.Rd,0,0,0
agset.Rd,0,0,1
algnm.Rd,0,0,1
all_stat_command_names.Rd,0,0,0
analyze_doob_full_affidavit.Rd,0,0,0
analyze_doob_table1_releases.Rd,0,0,0
analyze_doob_table2_flow.Rd,0,0,0
analyze_doob_table3_age_overrepresentation.Rd,0,0,0
anderson_darling.Rd,0,0,0
anova_table.Rd,0,0,0
antth.Rd,0,0,0
arsau.Rd,0,0,0
arsau_analyze.Rd,0,0,0
arsau_datasets.Rd,0,0,0
assess_calibration.Rd,0,0,0
assess_discrimination.Rd,0,0,0
audit_variables.Rd,0,0,0
auto_test.Rd,0,0,0
bartlett_test.Rd,0,0,0
beautiful_loop_metric.Rd,0,0,0
benjamini_hochberg.Rd,0,0,0
benjamini_yekutieli.Rd,0,0,0
bias_adjusted_estimate.Rd,0,0,0
bits_per_byte.Rd,0,0,0
block_bootstrap.Rd,0,0,0
bonferroni.Rd,0,0,0
bootstrap.Rd,0,0,0
bootstrap_632.Rd,0,0,0
bootstrap_effect_size_ci.Rd,0,0,0
bootstrap_validate.Rd,0,0,0
bpe_tokenizer.Rd,0,0,0
brdgr.Rd,0,0,1
btsrp.Rd,0,0,0
buttbp.Rd,0,1,1
buttbs.Rd,0,1,1
butthp.Rd,0,1,1
buttlp.Rd,0,1,1
bysid.Rd,0,0,1
cauchy_combination.Rd,0,0,0
causal.Rd,0,0,0
causal_attention_mask.Rd,0,0,0
cepst.Rd,0,1,1
cheatsheet.Rd,0,0,1
check_referential_integrity.Rd,0,0,0
chi2_goodness_of_fit.Rd,0,0,0
chi2_independence.Rd,0,0,0
ckan_metadata.Rd,0,0,1
clear_stat_commands.Rd,0,0,0
cles.Rd,0,0,0
cliffs_delta.Rd,0,0,0
cndrc.Rd,0,0,1
cntrl_estimator.Rd,0,0,0
cochrans_q.Rd,0,0,0
coefficient_of_variation.Rd,0,0,0
cohens_d.Rd,0,0,0
cohens_f.Rd,0,0,0
cohens_kappa.Rd,0,0,0
cohens_w.Rd,0,0,0
cokrg.Rd,0,0,1
collinearity_diagnostics.Rd,0,0,0
column_rule.Rd,0,0,0
commands_by_category.Rd,0,0,0
compute_goodness_of_fit.Rd,0,0,0
compute_influence.Rd,0,0,0
compute_residuals.Rd,0,0,0
compute_vif.Rd,0,0,0
copul.Rd,0,0,0
correlation_matrix.Rd,0,0,0
correlation_table.Rd,0,0,0
cosine_lr_schedule.Rd,0,0,0
cramers_v.Rd,0,0,0
create_reproducibility_manifest.Rd,0,0,0
cross_validate.Rd,0,0,0
csphr.Rd,0,0,1
d_to_nnt.Rd,0,0,0
d_to_or.Rd,0,0,0
d_to_r.Rd,0,0,0
dagostino_pearson.Rd,0,0,0
dataset_catalog.Rd,0,0,1
decision_curve_analysis.Rd,0,0,0
decoupling_test.Rd,0,0,0
delete_d_jackknife.Rd,0,0,0
detect_overfitting.Rd,0,0,0
dfa.Rd,0,1,1
dimrd.Rd,0,0,1
doob_trends.Rd,0,0,0
dot-MORIE_ENTHEO_DEFAULT_BANDS.Rd,0,0,0
dot-MORIE_ENTHEO_EEG_BANDS.Rd,0,0,0
dot-MORIE_ENTHEO_EEG_REGIONS.Rd,0,0,0
dot-morie_auto_register_stat_commands.Rd,0,0,0
dot-morie_entheo_dmt_root.Rd,0,0,0
dot-morie_entheo_loadmat.Rd,0,0,0
dot-morie_entheo_lz76.Rd,0,0,0
dot-morie_entheo_require_root.Rd,0,0,0
dot-morie_entheo_trapz.Rd,0,0,0
dot-morie_hajek_ate.Rd,0,0,0
dot-morie_resolve_arsau_dir.Rd,0,0,0
dot-siu_curl_version.Rd,0,0,0
dot-siu_http_get.Rd,0,0,0
dot-siu_http_get_many.Rd,0,0,0
dot-siu_http_get_many_with_status.Rd,0,0,0
dot-siu_parse_news.Rd,0,0,0
dot-siu_parse_report.Rd,0,0,0
dwnmn.Rd,0,0,1
e_value.Rd,0,0,0
e_value_d.Rd,0,0,0
e_value_hr.Rd,0,0,0
e_value_or.Rd,0,0,0
e_value_rr.Rd,0,0,0
ecgdet.Rd,0,1,1
effect_size_result.Rd,0,0,0
effect_sizes.Rd,0,0,0
effects.Rd,0,0,0
epsilon_squared.Rd,0,0,0
estimate_ate.Rd,0,0,0
estimate_ate_gcomputation.Rd,0,0,0
estimate_pi0.Rd,0,0,0
estimate_pliv.Rd,0,0,0
estimate_plr.Rd,0,0,0
eta_squared.Rd,0,0,0
explain_file.Rd,0,0,1
explain_known_files.Rd,0,0,0
external_validate.Rd,0,0,0
extvm.Rd,0,0,0
fairness_cityprofile.Rd,0,0,0
fairness_metrics.Rd,0,0,0
fairness_temporal.Rd,0,0,0
fallback_procedure.Rd,0,0,0
fisher_combined.Rd,0,0,0
fisher_exact_test.Rd,0,0,0
fixed_effects_meta.Rd,0,0,0
fixed_sequence.Rd,0,0,0
flash_attention.Rd,0,0,0
fleiss_kappa.Rd,0,0,0
format_dataframe.Rd,0,0,0
format_number.Rd,0,0,0
friedman_test.Rd,0,0,0
frns_metrics.Rd,0,0,1
frns_predpol.Rd,0,0,1
frns_temporal.Rd,0,0,1
full_diagnostics.Rd,0,0,0
fzbrd.Rd,0,0,1
fzcvm.Rd,0,0,1
fzedg.Rd,0,0,1
fzhdc.Rd,0,0,1
fzhok.Rd,0,0,1
fzkdf.Rd,0,0,1
fzksm.Rd,0,0,1
fzlst.Rd,0,0,1
fzmis.Rd,0,0,1
fzmrb.Rd,0,0,1
fzmrl.Rd,0,0,1
fzqnt.Rd,0,0,1
fzsgn.Rd,0,0,1
fzsrv.Rd,0,0,1
fzwlc.Rd,0,0,1
gam_smoother.Rd,0,0,0
ghosal_bnp_helpers.Rd,0,0,0
glass_delta.Rd,0,0,0
gpfit.Rd,0,0,0
gradient_clipping.Rd,0,0,0
grouped_query_attention.Rd,0,0,0
gwreg.Rd,0,0,1
harmonic_mean_p.Rd,0,0,0
hazard_ratio_table.Rd,0,0,0
hcepst.Rd,0,1,1
hdecon.Rd,0,1,1
hedges_g.Rd,0,0,0
hfd.Rd,0,1,1
hierarchical_bonferroni.Rd,0,0,0
hochberg.Rd,0,0,0
holm.Rd,0,0,0
holm_sidak.Rd,0,0,0
hommel.Rd,0,0,0
horowitz_helpers.Rd,0,0,0
hosmer_lemeshow_test.Rd,0,0,0
hrvfd.Rd,0,1,1
hrvnl.Rd,0,1,1
hrvtd.Rd,0,1,1
hrzb1.Rd,0,0,0
hrzb2.Rd,0,0,0
hrzc1.Rd,0,0,0
hrzd1.Rd,0,0,0
hrzi1.Rd,0,0,0
hrzi2.Rd,0,0,0
hrzk1.Rd,0,0,0
hrzk2.Rd,0,0,0
hrzk3.Rd,0,0,0
hrzm1.Rd,0,0,0
hrzn1.Rd,0,0,0
hrzn2.Rd,0,0,0
hrzp1.Rd,0,0,0
hrzp2.Rd,0,0,0
hrzq1.Rd,0,0,0
hrzs1.Rd,0,0,0
hrzt1.Rd,0,0,0
hrzt2.Rd,0,0,0
hrzw1.Rd,0,0,0
hrzw2.Rd,0,0,0
i_squared.Rd,0,0,0
idlpt.Rd,0,0,1
impsm.Rd,0,0,0
incidence_rate_difference.Rd,0,0,0
indkr.Rd,0,0,1
inference.Rd,0,0,0
intraclass_correlation.Rd,0,0,0
irtsp.Rd,0,0,1
isotn.Rd,0,0,0
jackknife.Rd,0,0,0
jarque_bera.Rd,0,0,0
jkest.Rd,0,0,0
kde.Rd,0,0,0
kendall_correlation.Rd,0,0,0
kernel_cond_moments.Rd,0,0,0
kernel_eval.Rd,0,0,0
kfd.Rd,0,1,1
kruskal_wallis.Rd,0,0,0
ks_test_one_sample.Rd,0,0,0
ks_test_two_sample.Rd,0,0,0
kv_cache_management.Rd,0,0,0
latnh.Rd,0,0,0
leave_one_out_cv.Rd,0,0,0
levene_test.Rd,0,0,0
license_check.Rd,0,0,1
likelihood_ratio_test.Rd,0,0,0
lilliefors_test.Rd,0,0,0
link_test.Rd,0,0,0
llm_arch_helpers.Rd,0,0,0
load_dmt_imaging.Rd,0,0,0
local_fdr.Rd,0,0,1
local_linear.Rd,0,0,0
longitudinal_sim.Rd,0,0,1
loocv_bandwidth.Rd,0,0,0
lr_warmup.Rd,0,0,0
mann_whitney_u.Rd,0,0,0
manski_bounds.Rd,0,0,0
mcint_crude.Rd,0,0,0
mcnemar_test.Rd,0,0,0
mdspl.Rd,0,0,1
mdvtr.Rd,0,0,1
midranks.Rd,0,0,1
mixture_of_experts.Rd,0,0,0
mnpbt.Rd,0,0,1
model_comparison_table.Rd,0,0,0
morie-package.Rd,0,0,0
morie_aniso.Rd,0,0,1
morie_anova_one_way.Rd,0,0,1
morie_arch_in_mean.Rd,0,0,1
morie_arsau_analyze_aggregate_summary.Rd,0,0,0
morie_arsau_analyze_detailed_dataset.Rd,0,0,0
morie_arsau_analyze_individual_records.Rd,0,0,0
morie_arsau_analyze_main_records.Rd,0,0,0
morie_arsau_analyze_probe_cycle_records.Rd,0,0,0
morie_arsau_analyze_weapon_records.Rd,0,0,0
morie_arsau_available_datasets.Rd,0,0,0
morie_arsau_available_years.Rd,0,0,0
morie_arsau_ckan_url.Rd,0,0,0
morie_arsau_describe.Rd,0,0,0
morie_arsau_download.Rd,0,0,0
morie_arsau_fetch_sidecar.Rd,0,0,0
morie_arsau_load_aggregate_summary.Rd,0,0,0
morie_arsau_load_detailed_dataset.Rd,0,0,0
morie_arsau_load_individual_records.Rd,0,0,0
morie_arsau_load_main_records.Rd,0,0,0
morie_arsau_load_probe_cycle_records.Rd,0,0,0
morie_arsau_load_weapon_records.Rd,0,0,0
morie_arsau_read_markdown_dictionary.Rd,0,0,0
morie_arsau_read_sidecar.Rd,0,0,0
morie_arsau_read_xlsx_dictionary.Rd,0,0,0
morie_arsau_registry_df.Rd,0,0,0
morie_arsau_sidecar_schema.Rd,0,0,0
morie_arsau_sidecar_to_frame.Rd,0,0,0
morie_ask_percy.Rd,0,0,1
morie_attnq_scaled_dot_product_attention.Rd,0,0,1
morie_audit_all_variables.Rd,0,0,0
morie_audit_arsau_variables.Rd,0,0,0
