"weight","alcohol_past12m","heavy_drinking_30d","ebac_tot","ebac_legal","cannabis_any_use","age_group","gender","province_region","mental_health","physical_health"
1.2946,1,0,0.186,0,1,"17-19","Woman","Quebec",1,1
1.1406,2,5,0.1435,0,1,"25+","Woman","Ontario",5,4
0.9676,2,2,0.3494,1,2,"20-24","Woman","British Columbia",5,4
0.9361,1,5,0.1122,1,2,"20-24","Non-binary","Quebec",4,2
1.3474,1,3,0.1118,1,1,"25+","Man","Prairies",4,4
1.3877,1,2,0.1802,0,1,"25+","Man","Quebec",5,1
1.1604,1,3,0.6979,1,1,"17-19","Woman","Atlantic",5,5
0.9619,2,5,0.0681,0,1,"20-24","Man","Quebec",3,2
0.6325,2,8,0.0951,0,1,"20-24","Man","Prairies",4,3
0.6636,1,3,0.0494,1,1,"17-19","Non-binary","Quebec",4,1
0.4984,1,8,0.0415,0,1,"25+","Non-binary","Prairies",2,1
1.1407,1,0,0.0459,1,1,"25+","Non-binary","Ontario",4,4
1.2497,2,0,0.2467,1,2,"20-24","Woman","British Columbia",3,1
1.0879,1,3,0.2287,1,2,"20-24","Man","Atlantic",5,4
0.0177,1,8,0.3132,0,2,"17-19","Man","British Columbia",5,5
0.9556,2,2,0.2329,1,2,"25+","Non-binary","Quebec",3,4
0.721,2,1,0.1633,0,1,"20-24","Woman","Atlantic",2,2
1.1363,1,2,0.0674,0,1,"25+","Woman","Quebec",5,1
0.5182,1,1,0.1201,0,2,"25+","Man","Prairies",2,1
0.3966,2,2,0.452,1,1,"25+","Woman","Ontario",4,3
1.342,1,3,0.174,0,1,"17-19","Man","British Columbia",2,4
1.0947,2,0,0.2541,0,1,"25+","Man","Ontario",3,2
1.3128,2,1,0.1382,1,1,"20-24","Man","Prairies",5,4
0.9361,1,0,0.0292,1,2,"25+","Man","Ontario",4,3
1.1191,1,5,0.2835,0,2,"20-24","Man","Ontario",1,4
0.5369,1,8,0.1153,0,2,"25+","Man","British Columbia",4,5
0.9645,1,8,0.0742,1,1,"17-19","Man","Quebec",2,4
1.2054,1,3,0.0404,0,2,"25+","Woman","Quebec",4,1
0.3833,2,NA,0.2662,1,2,"25+","Man","Atlantic",3,1
0.9672,1,2,0.0637,0,1,"20-24","Man","Prairies",1,3
