"case_id","state","age_at_missing","gender","race","date_missing","county","status"
"MP26106","OR",51,"Non-binary","Other","2023-08-02","Maricopa","Deceased-Identified"
"MP49397","CO",25,"Female","Asian","2024-02-29","Harris","Located"
"MP78913","OR",10,"Female","Other","2021-03-30","Harris","Missing"
"MP47026","CA",61,"Female","White","2022-03-25","King","Deceased-Identified"
"MP72555","WA",24,"Non-binary","Asian","2023-09-09","LosAngeles","Missing"
"MP55881","NY",52,"Male","Other","2018-02-18","King","Located"
"MP84430","TX",53,"Male","Other","2023-12-18","Multnomah","Deceased-Identified"
"MP24126","CO",65,"Non-binary","Black","2024-06-26","Harris","Located"
"MP05058","NY",25,"Non-binary","Other","2019-01-25","Harris","Located"
"MP69678","WA",52,"Non-binary","Asian","2021-09-12","King","Deceased-Identified"
"MP60982","TX",35,"Female","Other","2019-01-24","Maricopa","Missing"
"MP92426","CO",55,"Male","Hispanic","2024-04-15","LosAngeles","Deceased-Identified"
"MP13515","FL",66,"Female","White","2020-10-20","King","Located"
"MP65080","CO",28,"Non-binary","White","2021-11-27","Maricopa","Deceased-Identified"
"MP60181","TX",65,"Female","Asian","2022-11-05","Multnomah","Missing"
"MP40522","OR",59,"Non-binary","Asian","2022-12-14","LosAngeles","Missing"
"MP92441","CO",64,"Non-binary","Black","2021-12-23","Cook","Deceased-Identified"
"MP91560","OR",75,"Female","Asian","2021-04-08","Harris","Deceased-Identified"
"MP36019","CA",60,"Non-binary","White","2023-07-03","Cook","Deceased-Identified"
"MP35666","TX",52,"Male","Indigenous","2021-06-17","Cook","Missing"
