"year","state","offense","ori","agency_name","incidents","cleared"
2019,"NY","motor-vehicle-theft","CA47192","Township PD",40,30
2022,"CA","robbery","NY30407","City PD",9,51
2022,"PA","aggravated-assault","NY02506","Township PD",102,25
2021,"CA","burglary","TX50976","County PD",158,11
2024,"FL","aggravated-assault","CA02117","City PD",152,43
2018,"GA","aggravated-assault","CA08437","Township PD",160,28
2022,"GA","aggravated-assault","CA41392","City PD",8,6
2018,"FL","burglary","NY35734","City PD",75,9
2019,"FL","aggravated-assault","CA91258","County PD",241,58
2019,"FL","robbery","NY50338","Township PD",114,42
2024,"NY","aggravated-assault","CA76329","Township PD",58,18
2022,"TX","aggravated-assault","TX34178","City PD",51,52
2020,"FL","motor-vehicle-theft","TX08005","City PD",48,29
2022,"FL","aggravated-assault","CA03596","City PD",224,57
2023,"OH","larceny","CA94552","County PD",50,53
2021,"OH","robbery","TX27167","City PD",196,10
2023,"CA","larceny","NY27275","City PD",223,33
2019,"FL","burglary","TX73734","County PD",125,24
2019,"TX","burglary","NY20733","Township PD",228,15
2021,"FL","aggravated-assault","TX16761","City PD",152,36
2019,"FL","robbery","NY02272","City PD",174,19
2019,"OH","motor-vehicle-theft","CA08985","County PD",8,6
2022,"FL","larceny","TX08808","City PD",24,55
2018,"CA","robbery","CA98526","County PD",192,41
2020,"IL","aggravated-assault","CA44914","County PD",204,57
