"dataset_id","title","doi","keywords","size_bytes","publisher","license"
"nist-rds-3100","NIST RDS Crypto Dataset","10.18434/M369398","chemistry,nmr",10485760,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-1799","NIST RDS Materials Dataset","10.18434/M315957","materials,steel",524288,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-2570","NIST RDS Statistics Dataset","10.18434/M313522","materials,steel",1024,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-9341","NIST RDS Chemistry Dataset","10.18434/M388132","materials,steel",1024,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-5789","NIST RDS Statistics Dataset","10.18434/M332063","forensics,fingerprint",524288,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-1027","NIST RDS Materials Dataset","10.18434/M343764","forensics,fingerprint",1048576,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-8673","NIST RDS Forensic Dataset","10.18434/M392618","crypto,sha",524288,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-8577","NIST RDS Chemistry Dataset","10.18434/M384885","chemistry,nmr",10485760,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-0632","NIST RDS Statistics Dataset","10.18434/M347958","forensics,fingerprint",1024,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-0275","NIST RDS Chemistry Dataset","10.18434/M391816","stats,reference",1024,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-7158","NIST RDS Materials Dataset","10.18434/M375277","forensics,fingerprint",51200,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-7179","NIST RDS Chemistry Dataset","10.18434/M338518","chemistry,nmr",1048576,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-6639","NIST RDS Materials Dataset","10.18434/M385551","forensics,fingerprint",10485760,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-3559","NIST RDS Chemistry Dataset","10.18434/M359389","crypto,sha",10485760,"National Institute of Standards and Technology","Public Domain (US Federal)"
"nist-rds-9851","NIST RDS Statistics Dataset","10.18434/M311665","stats,reference",524288,"National Institute of Standards and Technology","Public Domain (US Federal)"
