"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"10006319","2006-01-04T00:00:00.000","21:06:00","2006-01-04T00:00:00.000","21:15:00","1","2006-01-04T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","980240","200825","25-44","ASIAN / PACIFIC ISLANDER","M",,"40.717895","-74.014465","(40.717895, -74.014465)","PATROL BORO MAN SOUTH","(null)","25-44","ASIAN / PACIFIC ISLANDER","F"
"10006320","2006-01-04T00:00:00.000","23:02:00","2006-01-04T00:00:00.000","23:05:00","1","2006-01-04T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","COMMERCIAL BUILDING","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982060","201099","(null)","WHITE","M",,"40.718649","-74.0079","(40.718649, -74.0079)","PATROL BORO MAN SOUTH","(null)","25-44","WHITE HISPANIC","F"
"10006322","2005-12-30T00:00:00.000","21:00:00",,"(null)","1","2006-01-04T00:00:00.000","341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","BAR/NIGHT CLUB","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982115","196418","(null)","(null)","(null)",,"40.705799","-74.0077","(40.705799, -74.0077)","PATROL BORO MAN SOUTH","(null)","25-44","WHITE","M"
"10006323","2005-12-30T00:00:00.000","15:30:00","2006-01-03T00:00:00.000","06:00:00","1","2006-01-04T00:00:00.000","107","BURGLARY","213","BURGLARY,COMMERCIAL,NIGHT","COMPLETED","FELONY","MANHATTAN","(null)","CONSTRUCTION SITE","PORT AUTHORITY","3","(null)","(null)","(null)","981256","198319","(null)","(null)","(null)",,"40.71101604","-74.0107995","(40.71101604, -74.0107995)","PATROL BORO MAN SOUTH","(null)","(null)","UNKNOWN","D"
"10006324","2006-01-05T00:00:00.000","03:43:00","2006-01-05T00:00:00.000","03:44:00","1","2006-01-05T00:00:00.000","109","GRAND LARCENY","438","LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","MANHATTAN","INSIDE","FERRY/FERRY TERMINAL","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982285","201681","(null)","(null)","(null)",,"40.72025484","-74.00708983","(40.72025484, -74.00708983)","PATROL BORO MAN SOUTH","(null)","18-24","WHITE","F"
"10006325","2006-01-03T00:00:00.000","12:30:00",,"(null)","1","2006-01-04T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","MANHATTAN","INSIDE","PUBLIC SCHOOL","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982755","203171","(null)","(null)","(null)",,"40.724335","-74.00539","(40.724335, -74.00539)","PATROL BORO MAN SOUTH","(null)","<18","BLACK HISPANIC","M"
"10006326","2006-01-04T00:00:00.000","13:00:00",,"(null)","1","2006-01-04T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","COMMERCIAL BUILDING","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982538","202842","(null)","WHITE HISPANIC","M",,"40.723433","-74.006175","(40.723433, -74.006175)","PATROL BORO MAN SOUTH","(null)","25-44","WHITE","M"
"10006328","2006-01-02T00:00:00.000","17:00:00","2006-01-04T00:00:00.000","21:30:00","1","2006-01-05T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","981698","203539","25-44","WHITE","M",,"40.725344","-74.009206","(40.725344, -74.009206)","PATROL BORO MAN SOUTH","(null)","45-64","WHITE","F"
"10006330","2006-01-04T00:00:00.000","22:00:00",,"(null)","1","2006-01-05T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","113","MENACING,UNCLASSIFIED","COMPLETED","MISDEMEANOR","MANHATTAN","OPPOSITE OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","980678","196607","25-44","BLACK","M",,"40.706319","-74.012881","(40.706319, -74.012881)","PATROL BORO MAN SOUTH","(null)","25-44","BLACK","F"
"10006331","2005-12-22T00:00:00.000","09:00:00","2006-01-04T00:00:00.000","15:40:00","1","2006-01-04T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","COMMERCIAL BUILDING","N.Y. POLICE DEPT","0","(null)","MARKHAM GARDENS","(null)","980678","196607","(null)","UNKNOWN","M",,"40.706319","-74.012881","(40.706319, -74.012881)","PATROL BORO MAN SOUTH","(null)","25-44","BLACK","M"
"10006332","2006-01-04T00:00:00.000","17:00:00","2006-01-05T00:00:00.000","04:00:00","1","2006-01-05T00:00:00.000","107","BURGLARY","211","BURGLARY,COMMERCIAL,DAY","COMPLETED","FELONY","MANHATTAN","(null)","CONSTRUCTION SITE","PORT AUTHORITY","3","(null)","(null)","(null)","981256","198319","(null)","(null)","(null)",,"40.71101604","-74.0107995","(40.71101604, -74.0107995)","PATROL BORO MAN SOUTH","(null)","(null)","UNKNOWN","D"
"10006337","2006-01-05T00:00:00.000","10:25:00","2006-01-05T00:00:00.000","10:28:00","1","2006-01-05T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","FRONT OF","PUBLIC SCHOOL","N.Y. POLICE DEPT","0","(null)","(null)","(null)","982985","203269","18-24","BLACK","F",,"40.724604","-74.004562","(40.724604, -74.004562)","PATROL BORO MAN SOUTH","(null)","18-24","BLACK","F"
