id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
12000000,JG200000,2022-08-20T16:30:00.000,3600 N STATE ST,0878,THEFT,OPEN,VEHICLE,false,true,404,6,25,30,1,1127266.86,1851213.88,2022,2022-08-20T08:00:00.000,41.939084,-87.527755
12000001,JG200001,2022-05-21T16:30:00.000,900 N STATE ST,0337,THEFT,OPEN,VEHICLE,false,false,2329,14,31,51,8,1174695.56,1830382.0,2022,2022-05-21T08:00:00.000,41.839139,-87.804147
12000002,JG200002,2022-12-10T19:30:00.000,4400 N STATE ST,2372,BATTERY,OPEN,VEHICLE,false,true,1839,19,49,23,8,1107433.6,1858058.86,2022,2022-12-10T08:00:00.000,41.872813,-87.626917
12000003,JG200003,2024-09-18T22:30:00.000,9400 N STATE ST,2158,ROBBERY,OPEN,VEHICLE,true,true,1757,5,40,63,5,1162766.62,1843256.07,2024,2024-09-18T08:00:00.000,41.949991,-87.734027
12000004,JG200004,2023-05-05T08:30:00.000,3100 N STATE ST,2466,ROBBERY,OPEN,VEHICLE,false,false,714,2,14,67,8,1107415.12,1878830.3,2023,2023-05-05T08:00:00.000,41.991343,-87.76076
12000005,JG200005,2022-02-23T09:30:00.000,5800 N STATE ST,1759,THEFT,OPEN,STREET,true,false,1280,9,26,70,18,1178737.2,1858466.96,2022,2022-02-23T08:00:00.000,41.968387,-87.532855
12000006,JG200006,2023-12-01T22:30:00.000,4200 N STATE ST,1833,THEFT,OPEN,VEHICLE,true,false,1756,20,33,9,21,1161941.79,1849130.58,2023,2023-12-01T08:00:00.000,41.790199,-87.738484
12000007,JG200007,2022-08-16T12:30:00.000,2000 N STATE ST,1654,BURGLARY,OPEN,RESIDENCE,false,true,199,4,17,70,12,1148213.38,1845918.54,2022,2022-08-16T08:00:00.000,41.972296,-87.809424
12000008,JG200008,2022-11-27T08:30:00.000,7500 N STATE ST,1093,ROBBERY,OPEN,VEHICLE,true,false,821,16,5,66,4,1156559.55,1925906.03,2022,2022-11-27T08:00:00.000,41.723895,-87.6046
12000009,JG200009,2023-08-10T13:30:00.000,9100 N STATE ST,2071,BATTERY,OPEN,STREET,false,true,311,16,11,15,24,1123485.79,1935754.62,2023,2023-08-10T08:00:00.000,41.759998,-87.621785
12000010,JG200010,2023-11-17T00:30:00.000,600 N STATE ST,0241,BATTERY,OPEN,APARTMENT,false,false,1961,1,5,63,22,1196088.93,1911861.75,2023,2023-11-17T08:00:00.000,41.751899,-87.568956
12000011,JG200011,2024-06-28T22:30:00.000,5500 N STATE ST,0141,BURGLARY,OPEN,APARTMENT,true,true,585,8,40,23,2,1104436.61,1860175.01,2024,2024-06-28T08:00:00.000,41.989028,-87.83236
12000012,JG200012,2024-12-03T00:30:00.000,300 N STATE ST,0798,ROBBERY,OPEN,APARTMENT,true,false,2402,8,25,63,25,1172053.35,1849466.1,2024,2024-12-03T08:00:00.000,41.673377,-87.533625
12000013,JG200013,2024-08-02T14:30:00.000,2500 N STATE ST,1207,ROBBERY,OPEN,APARTMENT,true,true,2025,9,19,56,3,1186764.66,1861754.77,2024,2024-08-02T08:00:00.000,41.813922,-87.608513
12000014,JG200014,2024-01-25T03:30:00.000,9300 N STATE ST,0157,MOTOR VEHICLE THEFT,OPEN,APARTMENT,true,false,2119,4,49,6,11,1158725.43,1858920.31,2024,2024-01-25T08:00:00.000,41.891496,-87.81803
12000015,JG200015,2023-10-08T04:30:00.000,5900 N STATE ST,2900,MOTOR VEHICLE THEFT,OPEN,RESIDENCE,false,false,2277,12,25,3,8,1183241.0,1944026.98,2023,2023-10-08T08:00:00.000,41.839846,-87.655263
12000016,JG200016,2024-03-13T16:30:00.000,300 N STATE ST,0861,ROBBERY,OPEN,VEHICLE,true,true,418,2,45,46,26,1130320.95,1857329.52,2024,2024-03-13T08:00:00.000,41.76953,-87.676605
12000017,JG200017,2023-12-03T03:30:00.000,3800 N STATE ST,0626,BURGLARY,OPEN,RESIDENCE,false,false,1544,24,40,50,18,1109639.47,1856653.86,2023,2023-12-03T08:00:00.000,41.974851,-87.589536
12000018,JG200018,2024-10-18T07:30:00.000,5700 N STATE ST,1712,ROBBERY,OPEN,APARTMENT,true,false,1371,7,37,68,5,1102267.04,1856070.58,2024,2024-10-18T08:00:00.000,42.001739,-87.820333
12000019,JG200019,2023-10-01T13:30:00.000,1000 N STATE ST,1526,BURGLARY,OPEN,VEHICLE,false,true,1621,25,21,25,6,1178430.32,1933758.49,2023,2023-10-01T08:00:00.000,41.897216,-87.66131
12000020,JG200020,2022-04-02T11:30:00.000,7300 N STATE ST,0668,MOTOR VEHICLE THEFT,OPEN,RESIDENCE,true,true,1044,10,25,61,15,1197912.21,1946032.88,2022,2022-04-02T08:00:00.000,41.76506,-87.787848
