weight,alcohol_past12m,heavy_drinking_30d,ebac_tot,ebac_legal,cannabis_any_use,age_group,gender,province_region,mental_health,physical_health
732.75,0,0,0.0,0.0,0,15-24,female,Ontario,3,4
808.36,1,1,0.1424,0.0777,0,25-44,male,Prairies,2,2
967.15,0,0,0.0,0.0,0,65+,female,Ontario,3,4
632.66,0,0,0.0,0.0,1,45-64,male,Ontario,5,5
421.03,1,0,0.1317,0.08,0,25-44,male,Quebec,1,5
596.63,0,0,0.0,0.0,0,25-44,female,Quebec,5,3
492.05,0,0,0.0,0.0,0,45-64,male,Quebec,3,5
793.26,1,0,0.0725,0.0756,0,65+,male,Quebec,5,5
773.41,1,1,0.0113,0.0107,0,45-64,female,Ontario,4,4
860.93,0,0,0.0,0.0,0,15-24,female,BC,5,2
830.5,1,0,0.161,0.0788,0,25-44,male,Quebec,4,5
975.71,1,0,0.1703,0.08,1,25-44,female,Quebec,4,3
342.02,1,0,0.1511,0.077,0,45-64,female,Ontario,3,3
626.48,0,0,0.0,0.0,0,45-64,male,Ontario,4,4
584.91,0,0,0.0,0.0,0,65+,male,Prairies,4,1
1339.79,0,0,0.0,0.0,0,25-44,male,Ontario,3,5
1034.18,1,0,0.1245,0.0756,1,25-44,male,Quebec,4,2
737.66,1,0,0.0421,0.0427,0,45-64,male,Atlantic,4,4
673.71,1,0,0.0482,0.0465,1,65+,female,BC,4,5
786.0,1,0,0.0027,0.0,0,65+,male,Ontario,5,4
712.07,1,1,0.1732,0.0784,1,15-24,female,Ontario,4,4
765.81,1,0,0.1498,0.08,0,45-64,male,Ontario,4,4
601.37,1,0,0.0546,0.0534,0,45-64,male,Atlantic,4,3
1129.38,1,0,0.1119,0.0789,1,15-24,male,Quebec,3,5
788.71,1,0,0.1677,0.0771,0,65+,male,Ontario,2,3
1013.68,1,0,0.1719,0.08,0,65+,female,BC,5,4
747.94,1,0,0.0816,0.078,1,45-64,male,Prairies,5,3
1004.63,1,0,0.1593,0.08,0,45-64,male,BC,4,5
734.98,1,0,0.0979,0.0775,1,45-64,female,Ontario,3,3
352.97,0,0,0.0,0.0,1,15-24,male,Quebec,2,4
510.59,1,0,0.1175,0.08,0,25-44,female,Ontario,1,3
1029.52,1,1,0.1796,0.08,0,45-64,female,Quebec,5,4
789.29,1,0,0.0559,0.0572,0,25-44,female,BC,3,3
873.83,1,1,0.0782,0.0783,0,45-64,male,Prairies,5,4
800.77,1,1,0.0477,0.0435,0,25-44,male,Prairies,4,4
661.09,1,0,0.076,0.0752,0,25-44,female,Prairies,3,4
559.37,1,0,0.1349,0.0791,1,45-64,male,Prairies,2,4
957.28,0,0,0.0,0.0,1,25-44,female,Quebec,3,5
1030.71,1,1,0.051,0.0473,0,45-64,male,Ontario,4,4
976.99,1,1,0.015,0.0162,0,45-64,male,BC,4,2
741.66,1,1,0.0712,0.0762,1,65+,male,Prairies,4,3
818.31,1,0,0.1511,0.0774,0,45-64,female,Ontario,4,4
663.62,1,0,0.0452,0.0489,0,25-44,male,Prairies,4,4
744.92,0,0,0.0,0.0,0,15-24,male,Ontario,4,5
571.75,1,0,0.1516,0.0783,1,45-64,male,Prairies,3,4
986.09,0,0,0.0,0.0,0,65+,female,Ontario,3,2
972.75,1,1,0.093,0.0799,1,65+,female,BC,5,5
1088.6,1,1,0.0663,0.0677,1,15-24,female,Prairies,3,4
587.71,1,1,0.1488,0.08,0,25-44,female,Atlantic,5,5
953.93,1,0,0.1331,0.08,0,45-64,female,Ontario,5,4
905.7,1,0,0.1062,0.0793,1,45-64,female,Quebec,5,2
1100.06,0,0,0.0,0.0,0,25-44,male,Ontario,5,1
710.43,1,0,0.0509,0.0535,0,25-44,male,Quebec,4,3
783.89,1,0,0.0158,0.0205,0,25-44,male,Ontario,5,5
1065.32,1,0,0.1712,0.0796,0,25-44,female,Ontario,3,4
1063.1,1,0,0.1738,0.08,0,65+,female,Prairies,4,1
1029.17,1,0,0.1708,0.08,0,45-64,female,Ontario,1,2
685.96,1,0,0.0316,0.034,0,45-64,female,Ontario,1,5
625.2,1,0,0.0984,0.0793,0,15-24,male,BC,3,1
281.23,1,0,0.0897,0.08,1,65+,male,Ontario,2,3
922.2,1,0,0.1257,0.0779,0,25-44,female,BC,4,4
748.99,1,0,0.1153,0.08,0,25-44,female,Ontario,5,5
735.2,1,0,0.162,0.0766,1,25-44,male,Prairies,4,5
442.1,1,0,0.0791,0.08,0,15-24,male,Ontario,5,4
861.27,1,0,0.1715,0.08,0,45-64,male,Ontario,3,4
923.53,1,0,0.044,0.0481,0,25-44,other,Quebec,5,4
700.1,1,0,0.1528,0.0771,0,65+,female,Ontario,2,3
988.17,1,0,0.0931,0.08,0,45-64,male,BC,4,5
