year,ser_num,race,sex,age,ht_feet,ht_inch,weight,stopped_bc_object,stopped_bc_desc,frisked,searched,arstmade,summons_issued,city,stinter
2023,000000000,BLACK,M,30,4,6,238,N,Y,N,Y,N,Y,QUEENS,1
2024,000000001,WHITE HISPANIC,M,44,6,7,180,Y,N,Y,Y,N,N,QUEENS,1
2024,000000002,BLACK,M,52,6,2,277,Y,N,Y,N,N,Y,QUEENS,1
2023,000000003,WHITE HISPANIC,M,30,4,4,252,Y,N,Y,N,Y,Y,BRONX,1
2023,000000004,BLACK,M,40,6,1,268,N,N,N,Y,Y,N,QUEENS,1
2023,000000005,WHITE,M,47,6,5,273,Y,Y,N,N,Y,Y,STATEN IS,1
2024,000000006,BLACK,F,23,6,7,141,Y,N,Y,N,Y,Y,BROOKLYN,1
2024,000000007,BLACK,F,35,6,5,213,N,N,Y,Y,N,N,BROOKLYN,1
2024,000000008,BLACK,F,61,6,2,278,Y,Y,Y,Y,N,Y,BRONX,1
2022,000000009,BLACK,F,48,4,7,259,Y,Y,Y,Y,N,N,MANHATTAN,1
2024,000000010,BLACK,M,62,5,3,148,Y,N,N,Y,N,N,BROOKLYN,1
2022,000000011,WHITE HISPANIC,F,65,6,10,230,Y,Y,Y,Y,Y,N,BROOKLYN,1
2024,000000012,WHITE,M,48,4,7,205,N,N,N,N,Y,Y,STATEN IS,1
2023,000000013,BLACK,F,68,5,8,194,N,Y,Y,N,Y,Y,STATEN IS,1
2022,000000014,BLACK,M,50,5,0,241,Y,Y,N,N,Y,N,BRONX,1
2022,000000015,BLACK,F,68,6,0,211,Y,Y,N,Y,Y,N,QUEENS,1
2022,000000016,WHITE HISPANIC,F,15,5,0,267,N,N,N,N,N,N,BRONX,1
2022,000000017,WHITE HISPANIC,F,25,5,6,114,N,Y,N,Y,N,N,MANHATTAN,1
2023,000000018,BLACK,M,69,5,8,158,N,Y,N,N,Y,N,BROOKLYN,1
2022,000000019,WHITE HISPANIC,M,16,5,8,279,N,Y,Y,N,Y,N,QUEENS,1
2022,000000020,BLACK,F,29,6,1,215,N,N,N,Y,Y,Y,QUEENS,1
2022,000000021,BLACK,F,19,6,11,235,Y,N,N,N,Y,Y,BROOKLYN,1
2023,000000022,WHITE HISPANIC,M,61,6,8,149,Y,Y,Y,Y,Y,Y,BROOKLYN,1
2022,000000023,BLACK,M,58,5,11,122,N,N,Y,Y,Y,Y,BROOKLYN,1
2024,000000024,BLACK,M,21,5,0,255,N,Y,Y,Y,N,Y,QUEENS,1
2023,000000025,BLACK,M,38,6,7,154,Y,N,N,N,Y,Y,STATEN IS,1
2024,000000026,BLACK HISPANIC,M,18,6,4,166,N,N,Y,N,N,N,STATEN IS,1
2024,000000027,BLACK,M,42,6,3,149,Y,Y,Y,Y,N,N,BROOKLYN,1
2022,000000028,WHITE,M,32,6,0,113,N,N,N,Y,N,N,MANHATTAN,1
2024,000000029,WHITE HISPANIC,M,25,5,8,249,Y,N,N,Y,N,N,MANHATTAN,1
2022,000000030,ASIAN/PAC.ISL,M,67,6,2,122,Y,N,Y,N,N,N,MANHATTAN,1
2024,000000031,WHITE,M,16,6,10,214,N,N,N,N,Y,N,MANHATTAN,1
2022,000000032,WHITE HISPANIC,M,67,6,7,157,N,Y,Y,Y,N,N,BRONX,1
2022,000000033,BLACK,M,16,5,10,124,N,N,N,N,N,N,BRONX,1
2022,000000034,BLACK,M,52,4,2,219,N,N,N,N,N,Y,BROOKLYN,1
2022,000000035,BLACK,F,34,5,6,132,N,N,N,Y,N,Y,QUEENS,1
2022,000000036,BLACK,M,34,5,1,258,Y,N,N,N,Y,Y,BROOKLYN,1
2024,000000037,BLACK,M,29,6,2,154,N,Y,N,N,N,N,BROOKLYN,1
2024,000000038,WHITE HISPANIC,M,65,4,10,112,Y,N,Y,N,Y,N,BRONX,1
2023,000000039,BLACK,F,30,5,4,132,N,Y,Y,N,Y,N,QUEENS,1
