person_id,obs_date,fiscal_year,region,alert_complexity,volatility_movement,cell_disposition,restrictive_confinement_days,age_band
P1000,2024-04-01,2025,Eastern,3,1,1,1,25-34
P1000,2024-04-02,2025,Western,1,0,0,0,35-44
P1000,2024-04-03,2025,Northern,1,2,0,1,18-24
P1000,2024-04-04,2025,Eastern,2,0,1,0,25-34
P1000,2024-04-05,2025,Toronto,2,0,0,0,45-54
P1000,2024-04-06,2025,Western,2,2,0,0,45-54
P1001,2024-04-07,2025,Central,3,2,0,0,25-34
P1001,2024-04-08,2025,Eastern,1,1,0,0,35-44
P1001,2024-04-09,2025,Western,0,3,0,0,25-34
P1001,2024-04-10,2025,Western,1,3,0,1,25-34
P1001,2024-04-11,2025,Toronto,4,0,0,0,25-34
P1001,2024-04-12,2025,Eastern,3,5,0,1,18-24
P1002,2024-04-13,2025,Western,4,0,0,0,25-34
P1002,2024-04-14,2025,Northern,3,2,0,0,25-34
P1002,2024-04-15,2025,Central,2,3,0,0,18-24
P1002,2024-04-16,2025,Eastern,1,2,0,0,25-34
P1002,2024-04-17,2025,Toronto,0,4,1,1,45-54
P1002,2024-04-18,2025,Toronto,1,1,0,0,25-34
P1003,2024-04-19,2025,Central,2,1,1,0,25-34
P1003,2024-04-20,2025,Western,3,0,0,0,25-34
P1003,2024-04-21,2025,Central,3,0,0,1,55+
P1003,2024-04-22,2025,Toronto,1,1,0,0,35-44
P1003,2024-04-23,2025,Western,2,1,0,0,45-54
P1003,2024-04-24,2025,Central,2,1,0,0,55+
P1004,2024-04-25,2025,Western,1,1,1,0,35-44
P1004,2024-04-26,2025,Western,0,0,0,0,45-54
P1004,2024-04-27,2025,Central,2,4,0,0,18-24
P1004,2024-04-28,2025,Eastern,4,1,0,0,18-24
P1004,2024-04-29,2025,Northern,4,2,0,1,35-44
P1004,2024-04-30,2025,Toronto,1,1,0,0,45-54
P1005,2024-05-01,2025,Western,1,0,0,0,35-44
P1005,2024-05-02,2025,Western,2,0,0,0,25-34
P1005,2024-05-03,2025,Central,2,3,0,0,25-34
P1005,2024-05-04,2025,Eastern,4,1,1,0,25-34
P1005,2024-05-05,2025,Central,1,0,0,1,25-34
P1005,2024-05-06,2025,Northern,3,1,0,0,35-44
P1006,2024-05-07,2025,Eastern,1,2,1,0,55+
P1006,2024-05-08,2025,Eastern,3,2,0,0,18-24
P1006,2024-05-09,2025,Western,1,2,0,1,25-34
P1006,2024-05-10,2025,Central,2,2,0,0,35-44
P1006,2024-05-11,2025,Central,2,0,1,1,55+
P1006,2024-05-12,2025,Western,2,1,0,0,35-44
P1007,2024-05-13,2025,Central,1,0,0,0,25-34
P1007,2024-05-14,2025,Central,2,0,0,0,18-24
P1007,2024-05-15,2025,Central,1,1,1,0,25-34
P1007,2024-05-16,2025,Eastern,1,3,0,0,55+
P1007,2024-05-17,2025,Central,1,1,0,1,25-34
P1007,2024-05-18,2025,Toronto,1,0,0,0,55+
P1008,2024-05-19,2025,Western,3,0,0,1,35-44
P1008,2024-05-20,2025,Western,3,1,1,0,35-44
P1008,2024-05-21,2025,Central,3,0,0,0,25-34
P1008,2024-05-22,2025,Eastern,3,0,0,0,35-44
P1008,2024-05-23,2025,Central,4,0,0,1,35-44
P1008,2024-05-24,2025,Northern,2,3,0,1,35-44
P1009,2024-05-25,2025,Toronto,2,0,0,0,25-34
P1009,2024-05-26,2025,Central,1,0,0,0,18-24
P1009,2024-05-27,2025,Eastern,1,4,0,0,35-44
P1009,2024-05-28,2025,Eastern,4,0,0,0,35-44
P1009,2024-05-29,2025,Western,2,0,0,0,35-44
P1009,2024-05-30,2025,Eastern,1,3,1,0,35-44
P1010,2024-05-31,2025,Toronto,2,0,0,0,55+
P1010,2024-06-01,2025,Toronto,1,5,0,1,25-34
P1010,2024-06-02,2025,Northern,3,4,0,0,25-34
P1010,2024-06-03,2025,Western,4,0,0,0,45-54
P1010,2024-06-04,2025,Northern,1,1,0,0,25-34
P1010,2024-06-05,2025,Eastern,1,1,0,1,25-34
P1011,2024-06-06,2025,Western,1,1,0,0,35-44
P1011,2024-06-07,2025,Eastern,1,0,0,0,35-44
P1011,2024-06-08,2025,Western,2,1,1,0,35-44
P1011,2024-06-09,2025,Western,1,1,0,0,35-44
P1011,2024-06-10,2025,Central,1,2,0,0,25-34
P1011,2024-06-11,2025,Northern,2,1,0,0,35-44
P1012,2024-06-12,2025,Eastern,1,1,0,0,45-54
P1012,2024-06-13,2025,Central,1,5,0,0,45-54
P1012,2024-06-14,2025,Toronto,3,0,0,0,35-44
P1012,2024-06-15,2025,Western,1,0,0,0,35-44
P1012,2024-06-16,2025,Northern,2,4,0,0,35-44
P1012,2024-06-17,2025,Western,2,0,1,0,18-24
P1013,2024-06-18,2025,Eastern,2,3,0,0,35-44
P1013,2024-06-19,2025,Western,3,0,0,0,25-34
P1013,2024-06-20,2025,Central,4,0,0,0,25-34
P1013,2024-06-21,2025,Western,2,1,0,0,25-34
P1013,2024-06-22,2025,Toronto,1,1,0,0,35-44
P1013,2024-06-23,2025,Western,2,0,0,0,25-34
P1014,2024-06-24,2025,Central,3,0,0,0,25-34
P1014,2024-06-25,2025,Central,1,0,0,1,55+
P1014,2024-06-26,2025,Toronto,4,1,0,0,25-34
P1014,2024-06-27,2025,Toronto,2,1,0,0,18-24
P1014,2024-06-28,2025,Central,1,0,0,1,35-44
P1014,2024-06-29,2025,Northern,4,3,0,0,45-54
P1015,2024-06-30,2025,Toronto,4,0,1,1,45-54
P1015,2024-07-01,2025,Central,0,1,0,0,45-54
P1015,2024-07-02,2025,Toronto,3,1,0,0,35-44
P1015,2024-07-03,2025,Western,1,1,0,0,25-34
P1015,2024-07-04,2025,Western,4,1,0,1,18-24
P1015,2024-07-05,2025,Central,0,3,0,0,45-54
P1016,2024-07-06,2025,Toronto,1,2,0,1,25-34
P1016,2024-07-07,2025,Western,3,2,0,0,55+
P1016,2024-07-08,2025,Toronto,1,5,0,0,45-54
P1016,2024-07-09,2025,Toronto,1,0,0,0,25-34
P1016,2024-07-10,2025,Eastern,3,0,0,1,25-34
P1016,2024-07-11,2025,Northern,1,3,0,1,18-24
P1017,2024-07-12,2025,Toronto,3,0,1,0,45-54
P1017,2024-07-13,2025,Central,1,0,0,0,25-34
P1017,2024-07-14,2025,Toronto,2,1,0,0,25-34
P1017,2024-07-15,2025,Central,1,1,0,0,18-24
P1017,2024-07-16,2025,Toronto,3,5,0,0,25-34
P1017,2024-07-17,2025,Northern,4,1,0,1,55+
P1018,2024-07-18,2025,Northern,2,0,0,1,35-44
P1018,2024-07-19,2025,Toronto,4,2,0,1,55+
P1018,2024-07-20,2025,Toronto,2,2,0,1,18-24
P1018,2024-07-21,2025,Toronto,2,2,1,0,35-44
P1018,2024-07-22,2025,Western,4,4,1,0,18-24
P1018,2024-07-23,2025,Toronto,1,2,0,0,25-34
P1019,2024-07-24,2025,Toronto,1,2,0,0,45-54
P1019,2024-07-25,2025,Central,1,0,0,1,35-44
P1019,2024-07-26,2025,Central,2,1,0,0,18-24
P1019,2024-07-27,2025,Eastern,1,3,0,0,25-34
P1019,2024-07-28,2025,Western,2,5,0,0,18-24
P1019,2024-07-29,2025,Toronto,1,0,0,0,35-44
P1020,2024-07-30,2025,Toronto,1,0,0,0,45-54
P1020,2024-07-31,2025,Toronto,2,2,0,0,45-54
P1020,2024-08-01,2025,Western,1,1,0,1,35-44
P1020,2024-08-02,2025,Toronto,4,5,0,0,18-24
P1020,2024-08-03,2025,Northern,0,3,0,1,45-54
P1020,2024-08-04,2025,Central,1,1,0,0,18-24
P1021,2024-08-05,2025,Eastern,1,1,0,1,25-34
P1021,2024-08-06,2025,Toronto,3,4,0,0,35-44
P1021,2024-08-07,2025,Toronto,1,1,0,0,55+
P1021,2024-08-08,2025,Western,1,0,0,0,25-34
P1021,2024-08-09,2025,Central,4,0,0,0,25-34
P1021,2024-08-10,2025,Toronto,3,3,0,0,25-34
P1022,2024-08-11,2025,Toronto,2,1,0,1,45-54
P1022,2024-08-12,2025,Central,4,0,0,0,25-34
P1022,2024-08-13,2025,Toronto,1,4,0,0,35-44
P1022,2024-08-14,2025,Western,3,2,0,1,25-34
P1022,2024-08-15,2025,Central,1,1,0,0,35-44
P1022,2024-08-16,2025,Western,2,1,0,1,25-34
P1023,2024-08-17,2025,Central,3,0,0,0,45-54
P1023,2024-08-18,2025,Northern,1,0,0,0,25-34
P1023,2024-08-19,2025,Toronto,2,0,0,0,18-24
P1023,2024-08-20,2025,Western,2,3,0,1,25-34
P1023,2024-08-21,2025,Toronto,1,1,0,0,25-34
P1023,2024-08-22,2025,Eastern,1,2,0,0,18-24
P1024,2024-08-23,2025,Central,4,1,0,0,25-34
