EVENT_UNIQUE_ID,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DATE,MCI_CATEGORY,OFFENCE,DIVISION,HOOD_158,PREMISES_TYPE
GO-2020000000,2022,3,15,2022-03-15,Assault,Assault,D24,154,Other
GO-2020000001,2022,11,13,2022-11-13,Auto Theft,Auto Theft,D53,116,Other
GO-2020000002,2024,6,2,2024-06-02,Break and Enter,Break and Enter,D24,98,Apartment
GO-2020000003,2023,8,25,2023-08-25,Assault,Assault,D17,145,Commercial
GO-2020000004,2023,2,22,2023-02-22,Robbery,Robbery,D30,123,Other
GO-2020000005,2024,8,27,2024-08-27,Assault,Assault,D17,87,Other
GO-2020000006,2024,12,9,2024-12-09,Robbery,Robbery,D20,106,Commercial
GO-2020000007,2022,10,3,2022-10-03,Break and Enter,Break and Enter,D55,138,Outside
GO-2020000008,2024,1,3,2024-01-03,Assault,Assault,D33,112,Outside
GO-2020000009,2024,8,3,2024-08-03,Auto Theft,Auto Theft,D13,79,House
GO-2020000010,2024,9,16,2024-09-16,Assault,Assault,D44,4,Outside
GO-2020000011,2024,7,6,2024-07-06,Robbery,Robbery,D18,150,Apartment
GO-2020000012,2023,1,7,2023-01-07,Assault,Assault,D42,148,Outside
GO-2020000013,2024,11,22,2024-11-22,Break and Enter,Break and Enter,D18,157,Apartment
GO-2020000014,2024,11,21,2024-11-21,Assault,Assault,D46,90,Other
GO-2020000015,2023,12,21,2023-12-21,Auto Theft,Auto Theft,D34,19,Other
GO-2020000016,2023,10,11,2023-10-11,Break and Enter,Break and Enter,D29,56,Commercial
GO-2020000017,2023,11,9,2023-11-09,Assault,Assault,D41,89,Outside
GO-2020000018,2024,2,4,2024-02-04,Auto Theft,Auto Theft,D23,33,Apartment
GO-2020000019,2024,11,2,2024-11-02,Break and Enter,Break and Enter,D17,46,Other
GO-2020000020,2024,2,26,2024-02-26,Auto Theft,Auto Theft,D53,66,House
GO-2020000021,2023,2,2,2023-02-02,Theft Over,Theft Over,D46,94,Apartment
GO-2020000022,2024,8,6,2024-08-06,Assault,Assault,D42,103,Apartment
GO-2020000023,2023,7,12,2023-07-12,Assault,Assault,D47,10,Other
GO-2020000024,2023,9,8,2023-09-08,Robbery,Robbery,D47,1,Outside
GO-2020000025,2023,8,23,2023-08-23,Assault,Assault,D11,98,House
GO-2020000026,2023,7,12,2023-07-12,Auto Theft,Auto Theft,D55,61,Commercial
GO-2020000027,2024,12,21,2024-12-21,Assault,Assault,D28,126,Outside
GO-2020000028,2023,12,5,2023-12-05,Robbery,Robbery,D25,109,House
GO-2020000029,2023,9,2,2023-09-02,Assault,Assault,D32,78,Outside
GO-2020000030,2023,4,4,2023-04-04,Assault,Assault,D50,130,House
GO-2020000031,2022,9,27,2022-09-27,Break and Enter,Break and Enter,D43,94,Outside
GO-2020000032,2023,11,10,2023-11-10,Assault,Assault,D48,25,Outside
GO-2020000033,2024,1,24,2024-01-24,Assault,Assault,D28,138,Other
GO-2020000034,2024,6,18,2024-06-18,Auto Theft,Auto Theft,D47,38,House
GO-2020000035,2024,10,6,2024-10-06,Break and Enter,Break and Enter,D15,54,Commercial
GO-2020000036,2024,5,18,2024-05-18,Robbery,Robbery,D43,137,Other
GO-2020000037,2024,11,10,2024-11-10,Assault,Assault,D35,107,Apartment
GO-2020000038,2022,12,12,2022-12-12,Assault,Assault,D55,142,Other
GO-2020000039,2023,2,2,2023-02-02,Assault,Assault,D15,70,Commercial
GO-2020000040,2024,5,23,2024-05-23,Assault,Assault,D52,7,Outside
GO-2020000041,2024,10,22,2024-10-22,Assault,Assault,D37,91,House
GO-2020000042,2024,9,19,2024-09-19,Assault,Assault,D30,86,Other
GO-2020000043,2023,3,16,2023-03-16,Theft Over,Theft Over,D31,154,House
GO-2020000044,2023,11,13,2023-11-13,Theft Over,Theft Over,D44,90,Outside
GO-2020000045,2023,4,27,2023-04-27,Robbery,Robbery,D15,27,Apartment
GO-2020000046,2022,11,27,2022-11-27,Assault,Assault,D13,87,Commercial
GO-2020000047,2023,12,9,2023-12-09,Assault,Assault,D27,82,House
GO-2020000048,2022,1,19,2022-01-19,Assault,Assault,D43,93,Apartment
GO-2020000049,2024,4,2,2024-04-02,Break and Enter,Break and Enter,D40,120,Outside
GO-2020000050,2022,4,5,2022-04-05,Auto Theft,Auto Theft,D32,91,House
GO-2020000051,2022,4,10,2022-04-10,Break and Enter,Break and Enter,D48,68,Commercial
